time-millis,l_reel_enc,r_reel_enc,d_l,d_r
1580939094763,0,70,0.0,0.198734824160421
1580939095003,0,70,0.0,0.198734824160421
1580939095033,0,70,0.0,0.198734824160421
1580939095063,0,70,0.0,0.198734824160421
1580939095303,0,70,0.0,0.198734824160421
1580939095333,0,70,0.0,0.198734824160421
1580939095603,0,70,0.0,0.198734824160421
1580939095633,0,70,0.0,0.198734824160421
1580939095663,0,70,0.0,0.198734824160421
1580939095933,0,70,0.0,0.198734824160421
1580939095963,0,70,0.0,0.198734824160421
1580939095994,0,70,0.0,0.198734824160421
1580939096233,0,70,0.0,0.198734824160421
1580939096263,0,70,0.0,0.198734824160421
1580939096294,0,70,0.0,0.198734824160421
1580939096533,0,70,0.0,0.198734824160421
1580939096562,0,70,0.0,0.198734824160421
1580939096593,0,70,0.0,0.198734824160421
1580939096833,0,70,0.0,0.198734824160421
1580939096863,0,70,0.0,0.198734824160421
1580939097133,0,70,0.0,0.198734824160421
1580939097163,0,70,0.0,0.198734824160421
1580939097193,0,70,0.0,0.198734824160421
1580939097462,0,70,0.0,0.198734824160421
1580939097492,0,70,0.0,0.198734824160421
1580939097522,0,70,0.0,0.198734824160421
1580939097763,0,70,0.0,0.198734824160421
1580939097793,0,70,0.0,0.198734824160421
1580939097823,0,70,0.0,0.198734824160421
1580939098063,0,70,0.0,0.198734824160421
1580939098093,0,70,0.0,0.198734824160421
1580939098363,0,70,0.0,0.198734824160421
1580939098393,0,70,0.0,0.198734824160421
1580939098423,0,70,0.0,0.198734824160421
1580939098693,0,70,0.0,0.198734824160421
1580939098723,0,70,0.0,0.198734824160421
1580939098753,0,70,0.0,0.198734824160421
1580939098993,0,70,0.0,0.198734824160421
1580939099023,0,70,0.0,0.198734824160421
1580939099053,0,70,0.0,0.198734824160421
1580939099293,0,70,0.0,0.198734824160421
1580939099323,0,70,0.0,0.198734824160421
