Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
186;1.860000;-0.336845;0.148490;-0.179345;-0.171794;0.148598;-0.335766;0.216362;0.794039;0.189246
187;1.870000;-0.335800;0.148611;-0.178238;-0.170711;0.148604;-0.334932;0.218400;0.794027;0.189765
188;1.880000;-0.334682;0.148663;-0.177086;-0.169755;0.148639;-0.333599;0.220550;0.793924;0.190502
189;1.890000;-0.333622;0.148677;-0.175908;-0.168723;0.148542;-0.332419;0.222576;0.793937;0.191159
190;1.900000;-0.332598;0.148598;-0.174771;-0.167617;0.148589;-0.331250;0.224739;0.793831;0.191856
191;1.910000;-0.331457;0.148572;-0.173508;-0.166521;0.148579;-0.330256;0.226827;0.793808;0.192923
192;1.920000;-0.330343;0.148571;-0.172351;-0.165330;0.148557;-0.328969;0.228799;0.793827;0.194069
193;1.930000;-0.329229;0.148617;-0.171159;-0.164225;0.148556;-0.327941;0.230736;0.793819;0.195119
194;1.940000;-0.328153;0.148493;-0.169964;-0.163203;0.148415;-0.326660;0.232726;0.793810;0.196424
195;1.950000;-0.326950;0.148475;-0.168661;-0.162112;0.148470;-0.325464;0.234676;0.793944;0.197640
196;1.960000;-0.325814;0.148583;-0.167383;-0.161074;0.148598;-0.324447;0.236494;0.794010;0.198774
197;1.970000;-0.324643;0.148704;-0.166123;-0.159977;0.148497;-0.323261;0.238377;0.794053;0.199976
198;1.980000;-0.323507;0.148754;-0.164929;-0.158876;0.148499;-0.322095;0.240290;0.794102;0.201056
199;1.990000;-0.322221;0.148601;-0.163696;-0.157712;0.148383;-0.320704;0.242237;0.794064;0.202198
200;2.000000;-0.321120;0.148557;-0.162370;-0.156637;0.148256;-0.319449;0.244042;0.794064;0.203404
201;2.010000;-0.319978;0.148615;-0.161010;-0.155494;0.148570;-0.318415;0.245937;0.793987;0.204742
202;2.020000;-0.318841;0.148709;-0.159725;-0.154365;0.148522;-0.317010;0.247822;0.793947;0.206147
203;2.030000;-0.317577;0.148672;-0.158441;-0.153113;0.148414;-0.315498;0.249607;0.793902;0.207623
204;2.040000;-0.316116;0.148578;-0.157072;-0.151960;0.148390;-0.314183;0.251463;0.793881;0.209148
205;2.050000;-0.314920;0.148604;-0.155770;-0.150746;0.148664;-0.313242;0.253280;0.793776;0.210913
206;2.060000;-0.313996;0.148621;-0.154566;-0.149693;0.148678;-0.311992;0.255015;0.793801;0.212586
207;2.070000;-0.312868;0.148669;-0.153400;-0.148581;0.148631;-0.310797;0.256828;0.793776;0.214368
208;2.080000;-0.311594;0.148576;-0.151957;-0.147418;0.148597;-0.309485;0.258474;0.793798;0.216066
209;2.090000;-0.310337;0.148626;-0.150664;-0.146259;0.148402;-0.308038;0.260185;0.793876;0.217642
210;2.100000;-0.309252;0.148651;-0.149479;-0.145194;0.148559;-0.307179;0.261998;0.793945;0.219381
211;2.110000;-0.308305;0.148743;-0.148269;-0.144090;0.148639;-0.305930;0.263575;0.794068;0.220941
212;2.120000;-0.307032;0.148798;-0.146935;-0.142856;0.148703;-0.304641;0.265270;0.794222;0.222561
213;2.130000;-0.305774;0.148806;-0.145574;-0.141782;0.148525;-0.302929;0.266978;0.794329;0.224274
214;2.140000;-0.304766;0.148755;-0.144337;-0.140608;0.148663;-0.301912;0.268559;0.794546;0.226115
215;2.150000;-0.303366;0.148559;-0.143198;-0.139325;0.148660;-0.300593;0.270172;0.794756;0.227932
216;2.160000;-0.302087;0.148725;-0.141656;-0.138176;0.148692;-0.299421;0.271878;0.794961;0.229740
217;2.170000;-0.300905;0.148718;-0.140324;-0.136922;0.148534;-0.298188;0.273596;0.795197;0.231832
218;2.180000;-0.299675;0.148761;-0.139010;-0.135721;0.148506;-0.296652;0.275115;0.795446;0.233868
219;2.190000;-0.298350;0.148709;-0.137581;-0.134522;0.148605;-0.295421;0.276856;0.795629;0.236042
220;2.200000;-0.296877;0.148652;-0.136228;-0.133294;0.148600;-0.294330;0.278645;0.795788;0.238237
